english,thai,pos
expedition,การสำรวจ,noun
trauma,บาดแผลทางจิตใจ,noun
adjacent,ติดกัน-ใกล้เคียง,adjective
perplexity,ความสับสน,noun
diploma,ประกาศนียบัตร,noun
tendency,แนวโน้ม,noun
fabulous,เลิศ-ยอดเยี่ยม,adjective
beneath,ข้างใต้,preposition
convince,โน้มน้าวใจ,verb
authorize,อนุญาต,verb
indeed,อย่างแท้จริง,adverb
implement,ดำเนินการ,verb
utility,คุณประโยชน์,noun
comprehensive,ครอบคลุม,adjective
article,บทความ,noun
revolution,การปฏิวัติ,noun
appropriate,เหมาะสม,adjective
config,การกำหนดค่า,noun
perform,ดำเนินการ-แสดง,verb
sequence,ลำดับ,noun
dominant,ที่เด่น-มีอิทธิพล,adjective
validation,การตรวจสอบความถูกต้อง,noun
poverty,ความยากจน,noun
terrific,ยอดเยี่ยม,adjective
possession,การครอบครอง,noun
etiquette,มารยาท,noun
exceed,เกิน,verb
solitude,ความสันโดษ,noun
ecstasy,ความปีติยินดี,noun
attribute,คุณลักษณะ,noun
recruit,สรรหาคน,verb
comprehensive,ครอบคลุม,adjective
comprehension,ความเข้าใจ,noun
ridiculous,น่าขัน,adjective
effort,ความพยายาม,noun
afford,สามารถซื้อได้-มีทรัพย์พอ,verb
praised,ได้รับการยกย่อง,verb
criticized,ถูกวิจารณ์,verb
interference,การรบกวน,noun
confuse,สับสน,verb
arrange,จัด-จัดเรียง,verb
formal,เป็นทางการ,adjective
vibrate,สั่น-มีชีวิตชีวา,verb
vibration,การสั่นสะเทือน,noun
punctual,ตรงต่อเวลา,adjective
colleague,เพื่อนร่วมงาน,noun
distinct,แตกต่าง,adjective
occur,เกิดขึ้น,verb
isolate,แยกออกจากกัน,verb
civilize,ทำให้เจริญ-ทำให้อารยะ,verb
reside,อาศัยอยู่,verb
resident,ผู้อยู่อาศัย,noun
dispute,โต้เถียง-ข้อพิพาท,verb/noun
participants,ผู้เข้าร่วม,noun
exposed,ถูกเปิดเผย,adjective
moderate,ปานกลาง,adjective
attractive,มีเสน่ห์-ดึงดูด,adjective
messy,ยุ่งเหยิง,adjective
variety,ความหลากหลาย,noun
wealthy,ร่ำรวย,adjective
correspond,สอดคล้องกัน-ติดต่อกัน,verb
indicate,บ่งชี้,verb
admit,ยอมรับ,verb
commit,กระทำ-มอบหมาย,verb
committed,มีความมุ่งมั่น-ผูกพัน,adjective
committee,คณะกรรมการ,noun
commitment,ความมุ่งมั่น-คำมั่นสัญญา,noun
benchmark,เกณฑ์มาตรฐาน,noun
validate,ตรวจสอบความถูกต้อง,verb
invalidate,ทำให้เป็นโมฆะ,verb
phantom,ภาพลวงตา-ผี,noun
examined,ตรวจสอบแล้ว,verb
obsessed,หมกมุ่น,adjective
observe,สังเกต,verb
obsolete,ล้าสมัย,adjective
regret,เสียใจ,verb
regression,การถดถอย,noun
linear,เชิงเส้น,adjective
infrastructure,โครงสร้างพื้นฐาน,noun
forbidden,ต้องห้าม,adjective
valley,หุบเขา,noun
cliff,หน้าผา,noun
traditional,ดั้งเดิม,adjective
trepidation,ความหวาดกลัว,noun
advocate,ผู้สนับสนุน-สนับสนุน,noun/verb
integrity,ความซื่อสัตย์,noun
reluctant,ไม่เต็มใจ,adjective
discipline,ระเบียบวินัย,noun
substitute,แทนที่,verb
individual,บุคคล,noun
decent,เหมาะสม-ดีงาม,adjective
necessary,จำเป็น,adjective
look up,ค้นหา-มองขึ้น,phrasal verb
clumsy,ซุ่มซ่าม,adjective
tailor,ช่างตัดเสื้อ-ปรับให้เหมาะ,noun/verb
traitor,ผู้ทรยศ,noun
sailor,กะลาสี-ลูกเรือ,noun
preserved,ถูกรักษาไว้,adjective
altered,ถูกเปลี่ยนแปลง,adjective
conservation,การอนุรักษ์,noun
extinct,สูญพันธุ์,adjective
thrilled,ตื่นเต้นดีใจ,adjective
determine,กำหนด-ตัดสินใจ,verb
determinant,ปัจจัยที่กำหนด-ตัวกำหนด,noun
